sighting_id,video_id,camera_id,location_name,start_timestamp,start_sec,end_sec,duration_sec,track_id,track_ids,vehicle_class,plate,plate_raw,plate_confidence,plate_status,supporting_frame_count,ocr_reads,frames_observed,mean_detection_confidence,sighting_index_for_plate,evidence_ref,plate_crop_ref
sighting_001,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:00.1,0.08,3.68,3.6,3,3,car,,,,NOT_DETECTED,0,0,46,0.7669,1,evidence/sighting_01.jpg,
sighting_002,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:00.1,0.08,5.36,5.28,1,1,car,CA455822,CA455-822,0.8455,DETECTED,2,4,55,0.6576,1,evidence/sighting_02.jpg,evidence/sighting_02_plate.jpg
sighting_003,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:00.1,0.08,47.68,47.6,2,2,car,,,,NOT_DETECTED,0,0,596,0.8654,2,evidence/sighting_03.jpg,
sighting_004,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:01.4,1.36,1.68,0.32,4,4,car,,,,NOT_DETECTED,0,0,5,0.4447,3,evidence/sighting_04.jpg,
sighting_005,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:02.7,2.72,5.44,2.72,5,5,car,,,,NOT_DETECTED,0,0,35,0.5744,4,evidence/sighting_05.jpg,
sighting_006,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:03.3,3.28,5.44,2.16,6,6,car,,,,NOT_DETECTED,0,0,23,0.6132,5,evidence/sighting_06.jpg,
sighting_007,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:05.6,5.6,10.48,4.88,8,8|10,car,AR606L,豫A·R606L,0.8044,DETECTED,8,10,82,0.6218,1,evidence/sighting_07.jpg,evidence/sighting_07_plate.jpg
sighting_008,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:05.6,5.6,10.48,4.88,9,9,car,,,,NOT_DETECTED,0,0,62,0.7137,6,evidence/sighting_08.jpg,
sighting_009,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:10.0,10.0,10.4,0.4,12,12,truck,,,,NOT_DETECTED,0,0,3,0.3592,7,evidence/sighting_09.jpg,
sighting_010,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:10.6,10.64,14.24,3.6,14,14,car,,,,NOT_DETECTED,0,0,46,0.7689,8,evidence/sighting_10.jpg,
sighting_011,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:10.6,10.64,15.92,5.28,13,13,car,CA455822,CA455-822,0.8448,DETECTED,3,4,55,0.6573,2,evidence/sighting_11.jpg,evidence/sighting_11_plate.jpg
sighting_012,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:11.9,11.92,12.24,0.32,15,15,car,,,,NOT_DETECTED,0,0,5,0.4447,9,evidence/sighting_12.jpg,
sighting_013,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:13.3,13.28,16.0,2.72,16,16,car,,,,NOT_DETECTED,0,0,35,0.5744,10,evidence/sighting_13.jpg,
sighting_014,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:13.8,13.84,16.0,2.16,17,17,car,,,,NOT_DETECTED,0,0,23,0.6132,11,evidence/sighting_14.jpg,
sighting_015,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:16.2,16.16,21.04,4.88,19,19|21,car,AR606L,浙A·R606L,0.8144,DETECTED,8,11,82,0.6218,2,evidence/sighting_15.jpg,evidence/sighting_15_plate.jpg
sighting_016,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:16.2,16.16,21.04,4.88,20,20,car,,,,NOT_DETECTED,0,0,62,0.7137,12,evidence/sighting_16.jpg,
sighting_017,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:20.6,20.56,20.96,0.4,23,23,truck,,,,NOT_DETECTED,0,0,3,0.3592,13,evidence/sighting_17.jpg,
sighting_018,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:21.2,21.2,24.8,3.6,25,25,car,,,,NOT_DETECTED,0,0,46,0.7689,14,evidence/sighting_18.jpg,
sighting_019,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:21.2,21.2,26.48,5.28,24,24,car,CA455822,CA455-822,0.8454,DETECTED,3,4,55,0.6573,3,evidence/sighting_19.jpg,evidence/sighting_19_plate.jpg
sighting_020,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:22.5,22.48,22.8,0.32,26,26,car,,,,NOT_DETECTED,0,0,5,0.4447,15,evidence/sighting_20.jpg,
sighting_021,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:23.8,23.84,26.56,2.72,27,27,car,,,,NOT_DETECTED,0,0,35,0.5744,16,evidence/sighting_21.jpg,
sighting_022,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:24.4,24.4,26.56,2.16,28,28,car,,,,NOT_DETECTED,0,0,23,0.6132,17,evidence/sighting_22.jpg,
sighting_023,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:26.7,26.72,31.6,4.88,30,30|32,car,AR606L,豫A·R606L,0.8,DETECTED,8,10,82,0.6218,3,evidence/sighting_23.jpg,evidence/sighting_23_plate.jpg
sighting_024,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:26.7,26.72,31.6,4.88,31,31,car,,,,NOT_DETECTED,0,0,62,0.7137,18,evidence/sighting_24.jpg,
sighting_025,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:31.1,31.12,31.52,0.4,34,34,truck,,,,NOT_DETECTED,0,0,3,0.3592,19,evidence/sighting_25.jpg,
sighting_026,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:31.8,31.76,35.36,3.6,36,36,car,,,,NOT_DETECTED,0,0,46,0.7689,20,evidence/sighting_26.jpg,
sighting_027,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:31.8,31.76,37.04,5.28,35,35,car,CA455822,CA455-822,0.8448,DETECTED,3,4,55,0.6573,4,evidence/sighting_27.jpg,evidence/sighting_27_plate.jpg
sighting_028,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:33.0,33.04,33.36,0.32,37,37,car,,,,NOT_DETECTED,0,0,5,0.4447,21,evidence/sighting_28.jpg,
sighting_029,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:34.4,34.4,37.12,2.72,38,38,car,,,,NOT_DETECTED,0,0,35,0.5744,22,evidence/sighting_29.jpg,
sighting_030,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:35.0,34.96,37.12,2.16,39,39,car,,,,NOT_DETECTED,0,0,23,0.6132,23,evidence/sighting_30.jpg,
sighting_031,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:37.3,37.28,42.16,4.88,41,41|43,car,AR606L,浙A·R606L,0.8186,DETECTED,8,11,82,0.6218,4,evidence/sighting_31.jpg,evidence/sighting_31_plate.jpg
sighting_032,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:37.3,37.28,42.16,4.88,42,42,car,,,,NOT_DETECTED,0,0,62,0.7137,24,evidence/sighting_32.jpg,
sighting_033,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:41.7,41.68,42.08,0.4,45,45,truck,,,,NOT_DETECTED,0,0,3,0.3592,25,evidence/sighting_33.jpg,
sighting_034,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:42.3,42.32,47.6,5.28,46,46,car,CA455822,CA455-822,0.8454,DETECTED,3,4,55,0.6573,5,evidence/sighting_34.jpg,evidence/sighting_34_plate.jpg
sighting_035,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:42.3,42.32,45.92,3.6,47,47,car,,,,NOT_DETECTED,0,0,46,0.7689,26,evidence/sighting_35.jpg,
sighting_036,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:43.6,43.6,43.92,0.32,48,48,car,,,,NOT_DETECTED,0,0,5,0.4447,27,evidence/sighting_36.jpg,
sighting_037,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:45.0,44.96,47.68,2.72,49,49,car,,,,NOT_DETECTED,0,0,35,0.5744,28,evidence/sighting_37.jpg,
sighting_038,multivisit_fixture,fixture_cam,Multi-visit Fixture,00:45.5,45.52,47.68,2.16,50,50,car,,,,NOT_DETECTED,0,0,23,0.6132,29,evidence/sighting_38.jpg,
